#,Stage,Category,Capability,Description,AI/ML Technique,Data Inputs,Systems/Tools,Value/Benefit,Value Type,Human Role,Human Role Description,Related Capabilities
1,01 Demand & intake,Lifecycle,Capture & structure demand,"Turns any incoming request into a clean, complete, structured demand record",LLM (NLU + generation); document parsing,"Emails, Teams messages, intake forms, tickets","Outlook/Teams, SharePoint forms, ITSM; writes ADO/Planview","Faster, cleaner intake; less back-and-forth",Speed,Human approves,Confirms scope before it enters the portfolio,Classify & route; Capacity check
2,01 Demand & intake,Lifecycle,Classify & route,"Classifies demand by type, domain, risk and funding and routes it; flags duplicates",Text classification; retrieval (embeddings),"Demand taxonomy, org/domain directory, historical demand corpus","ADO/Planview, identity directory",Triage in minutes; duplicates caught early,Speed,Human approves,Owns final routing and priority,Capture & structure; Capacity check
3,01 Demand & intake,Lifecycle,Capacity check,"Tests new demand against capacity, skills and roadmap for an early feasibility signal",Forecasting ML; optimization,"Capacity & resource pool, skills data, roadmap",Planview resource management,Realistic commitments; less over-loading,Risk/Control,Human approves,Decides what to commit,Classify & route; Resource levelling
4,01 Demand & intake,Lifecycle,Business-case draft,Assembles a first-cut business case from the demand and comparable past work,LLM generation; retrieval,"Demand record, comparable project actuals, finance benchmarks","Planview, finance/ERP, SharePoint",Faster initiation; consistent cases,Speed,Human directs,Owns the case and the numbers,Capture & structure; Estimate from history
5,02 Estimate & shape,Lifecycle,Estimate from history,"Sizes effort, cost and duration from comparable completed work, with a confidence range",Forecasting / regression ML; retrieval,"ADO history, Planview actuals, prior-project effort/cost repository","ADO, Planview",More accurate estimates; fewer overruns,Cost/Effort,Human directs,Calibrates and owns the estimate,Business-case draft; Reconcile plans
6,02 Estimate & shape,Lifecycle,Challenge the estimate,Stress-tests an estimate for optimism bias and missing scope,LLM reasoning; analytics,"Estimate, historical actuals, risk-factor register","ADO, Planview",Estimate integrity; fewer surprises,Risk/Control,Human directs,Decides whether to revise,Estimate from history
7,02 Estimate & shape,Lifecycle,Re-estimate triggers,Watches scope and actuals and flags when a re-baseline is warranted,Anomaly detection,"Live scope (ADO), actuals & timesheets","ADO, timesheets",Forecasts stay honest,Risk/Control,Human approves,Approves the re-baseline,Critical-path view; Burn & forecast
8,03 Plan & schedule,Lifecycle,Reconcile plans,Keeps plans in sync across tools and flags divergence before steering,Data integration; entity matching,"ADO sprints, Planview milestones, MS Project, vendor plans","ADO, Planview, MS Project, vendor tools",Plans you can trust; less manual rework,Cost/Effort,Human approves,Resolves the conflicts,Critical-path view; Multi-vendor status
9,03 Plan & schedule,Lifecycle,Critical-path view,"Continuously computes critical path, float and conflicts and explains the end-date driver",Graph analytics; scheduling,"Plan, task dependencies, actuals","ADO, Planview",Slippage foreseen early,Speed,Human directs,Acts on the bottleneck,Reconcile plans; Sense dependencies
10,03 Plan & schedule,Lifecycle,Re-plan scenarios,"Generates re-plan options (crash, de-scope, add capacity) with cost-date trade-offs",Optimization / solver; LLM,"Plan, resource roster, cost rates, constraints","Planview, finance",Faster recovery from slips,Speed,Human directs,Chooses the trade-off,Critical-path view; Resource levelling
11,03 Plan & schedule,Lifecycle,Resource levelling,Proposes assignment changes to resolve over-allocation and skills gaps,Optimization / solver,"Resource & capacity, skills, allocations",Planview,Better utilisation; less burnout,Cost/Effort,Human directs,Owns people decisions,Capacity check; Re-plan scenarios
12,04 Dependencies,Lifecycle,Sense dependencies,"Discovers dependencies automatically from work links, architecture and comms",Knowledge graph; NLP; retrieval,"Work-item links, architecture/CMDB, Teams comms, component registry","ADO, CMDB, Teams",The top slippage cause caught early,Risk/Control,Human monitors,Curates the dependency graph,Critical-path view; Cross-programme impact; Risk sensing
13,04 Dependencies,Lifecycle,Chase commitments,Tracks cross-team commitments and nudges owners; escalates threats to the critical path,Workflow automation; LLM,"Dependency log, owner directory, status feeds","ADO, Teams/email",Coordination toil removed,Cost/Effort,Human approves,Sets escalation rules,Sense dependencies; Status reporting
14,04 Dependencies,Lifecycle,Cross-programme impact,Computes the ripple across other programmes sharing the same assets,Knowledge graph analytics,"Portfolio dependency graph, shared-asset registry, change calendar","Planview, ITSM, ADO",Collisions avoided,Risk/Control,Human monitors,"Reviews impact, decides sequencing",Sense dependencies; Collision detection
15,05 Config & environments,Lifecycle,Drift detection,Reconciles records against what is actually deployed and flags drift,Anomaly detection; config compare,"CMDB, environment registries, live deploy state (pipelines/IaC)","CMDB/ITSM, ADO pipelines, IaC",Fewer failed changes,Risk/Control,Human monitors,Acts on flagged drift,Baseline reconcile; Release-readiness
16,05 Config & environments,Lifecycle,Baseline reconcile,Maintains release baselines and verifies the right versions are bundled,Config analysis; rules,"ADO repos & pipelines, release definitions, artifact registry","ADO, artifact registry",Release integrity,Risk/Control,Human approves,Confirms the baseline,Drift detection; Deployment orchestration
17,05 Config & environments,Lifecycle,Records hygiene,Proposes configuration-record updates from observed reality,Anomaly detection; LLM,"CMDB, discovery tooling, observed state","CMDB/ITSM, discovery tools",Trustworthy source of record,Quality,Human approves,Approves every write,Drift detection
18,06 Build & deploy,Lifecycle,Deployment orchestration,Drives the deployment runbook across environments and teams; checks pre-conditions,Workflow automation; orchestration,"Pipelines, deployment tools, runbooks, change records","ADO pipelines, deploy tools, SharePoint, ITSM",Cutover toil and errors down,Cost/Effort,Human approves,Holds go/no-go on production steps,Release-readiness; Rollback readiness; Cutover comms
19,06 Build & deploy,Lifecycle,Release-readiness,Verifies every go-live precondition and produces an evidence-backed go/no-go,Multi-agent orchestration; rules,"Test results, change approval, config state, ops-readiness","ADO Test, ITSM, CMDB","Safer, faster go/no-go",Risk/Control,Human approves,Makes the go/no-go call,Test execution; Drift detection; Change-record drafting; Readiness validation
20,06 Build & deploy,Lifecycle,Rollback readiness,Prepares and validates the rollback plan before cutover,Workflow automation; verification,"Release definition, environment state, backup/restore","ADO, deploy tools, backup systems",Blast-radius control,Risk/Control,Human approves,Confirms rollback is viable,Deployment orchestration
21,06 Build & deploy,Lifecycle,Cutover comms,"Runs the cutover bridge: live status, step tracking, stakeholder updates",LLM generation; eventing,"Deployment status feed, stakeholder directory","Deploy tools, Teams","Calmer, faster cutovers",Speed,Human monitors,Owns decisions on the bridge,Deployment orchestration; Status reporting
22,06 Build & deploy,Lifecycle,Runbook drafting,Drafts and maintains deployment runbooks from the change and prior runbooks,LLM generation; retrieval,"Change record, prior runbooks, architecture docs","SharePoint, ADO",Preparation time down,Cost/Effort,Human directs,SME reviews the runbook,Deployment orchestration
23,07 Test & quality,Lifecycle,Test generation,"Derives test cases from requirements and code changes, with traceability",LLM; code analysis,"Requirements/stories, code diffs, traceability","ADO, repos",Coverage up; design time down,Quality,Human directs,Reviews critical-path tests,Test data on demand; Test execution; Traceability
24,07 Test & quality,Lifecycle,Test data on demand,Provisions compliant masked/synthetic data matched to test needs,Synthetic data generation; data masking,"Prod schema (masked), data-classification policy, test envs","Test-data tools, test environments",A top time-to-market bottleneck removed,Speed,Human approves,Privacy sign-off,Test generation; Test execution
